N_features,Iteration,AUC
10,1,0.5726495726495726
10,2,0.5837606837606838
10,3,0.5917378917378917
10,4,0.6803418803418804
10,5,0.6749287749287749
10,6,0.5813390313390313
10,7,0.5792022792022792
10,8,0.6108262108262108
10,9,0.6467236467236467
10,10,0.6282051282051282
10,11,0.6145299145299146
10,12,0.5908831908831909
10,13,0.5774928774928775
10,14,0.5766381766381766
10,15,0.6364672364672365
10,16,0.6578347578347579
10,17,0.6284900284900284
10,18,0.6
10,19,0.6404558404558405
10,20,0.6259259259259259
10,21,0.6387464387464388
10,22,0.6307692307692307
10,23,0.6703703703703704
10,24,0.6849002849002849
10,25,0.6330484330484331
10,26,0.6464387464387464
10,27,0.7062678062678063
10,28,0.6904558404558404
10,29,0.5566951566951567
10,30,0.721937321937322
10,31,0.5994301994301995
10,32,0.5585470085470086
10,33,0.5086894586894587
10,34,0.6655270655270655
10,35,0.6387464387464388
10,36,0.7264957264957265
10,37,0.6928774928774929
10,38,0.6458689458689458
10,39,0.6672364672364672
10,40,0.6584045584045584
10,41,0.6796296296296296
10,42,0.6387464387464388
10,43,0.5424501424501424
10,44,0.6162393162393163
10,45,0.5367521367521367
10,46,0.6205128205128205
10,47,0.6606837606837607
10,48,0.6367521367521367
10,49,0.6592592592592592
10,50,0.6532763532763532
10,51,0.6424501424501424
10,52,0.5173789173789174
10,53,0.5306267806267806
10,54,0.676923076923077
10,55,0.635042735042735
10,56,0.6042735042735042
10,57,0.6618233618233619
10,58,0.6561253561253562
10,59,0.584045584045584
10,60,0.5585470085470086
10,61,0.5478632478632479
10,62,0.5641025641025641
10,63,0.6575498575498575
10,64,0.6105413105413106
10,65,0.6732193732193732
10,66,0.56381766381766385
10,67,0.7213675213675214
10,68,0.6105413105413106
10,69,0.6170940170940171
10,70,0.5863247863247864
10,71,0.625071225071225
10,72,0.7099715099715099
10,73,0.6706552706552706
10,74,0.6774928774928775
10,75,0.5888888888888889
10,76,0.639031339031339
10,77,0.5886039886039887
10,78,0.6780626780626781
10,79,0.5652421652421652
10,80,0.7133903133903133
10,81,0.5965811965811966
10,82,0.6817663817663817
10,83,0.5692307692307692
10,84,0.6356125356125356
10,85,0.5071225071225072
10,86,0.6384615384615384
10,87,0.6005698005698006
10,88,0.7538461538461538
10,89,0.7205128205128205
10,90,0.6253561253561254
