Name_2018b,Name_2019,Notes
Japanese encephalitis virus,Japanese encephalitis virus,
Jonchet jonvirus,Jonchet jonvirus,
Jugra virus,Jugra virus,
Argentinian mammarenavirus,Argentinian mammarenavirus,
Jurona vesiculovirus,Jurona vesiculovirus,
Jutiapa virus,Jutiapa virus,
Kaeng Khoi orthobunyavirus,Kaeng Khoi orthobunyavirus,
Kairi orthobunyavirus,Kairi orthobunyavirus,
Kappapapillomavirus 1,Kappapapillomavirus 1,
Kappapapillomavirus 2,Kappapapillomavirus 2,
Kasokero orthonairovirus,Kasokero orthonairovirus,
Kedougou virus,Kedougou virus,
Kern Canyon ledantevirus,Kern Canyon ledantevirus,
Keuraliba ledantevirus,Keuraliba ledantevirus,
Khabarovsk orthohantavirus,Khabarovsk orthohantavirus,
Khujand lyssavirus,Khujand lyssavirus,
Kimberley ephemerovirus,Kimberley ephemerovirus,
Kokobera virus,Kokobera virus,
Kolente ledantevirus,Kolente ledantevirus,
Koongol orthobunyavirus,Koongol orthobunyavirus,
Kotonkan ephemerovirus,Kotonkan ephemerovirus,
Koutango virus,Koutango virus,
Kyasanur Forest disease virus,Kyasanur Forest disease virus,
Gammaarterivirus lacdeh,Gammaarterivirus lacdeh,
Lagos bat lyssavirus,Lagos bat lyssavirus,
Lambdapapillomavirus 1,Lambdapapillomavirus 1,
Lambdapapillomavirus 2,Lambdapapillomavirus 2,
Langat virus,Langat virus,
Lassa mammarenavirus,Lassa mammarenavirus,
Latino mammarenavirus,Latino mammarenavirus,
Lebombo virus,Lebombo virus,
Lettuce necrotic yellows cytorhabdovirus,Lettuce necrotic yellows cytorhabdovirus,
Lettuce yellow mottle cytorhabdovirus,Lettuce yellow mottle cytorhabdovirus,
Limnipivirus C,Limnipivirus C,
Lloviu cuevavirus,Lloviu cuevavirus,
Loei River mammarenavirus,Loei River mammarenavirus,
Louping ill virus,Louping ill virus,
Lujo mammarenavirus,Lujo mammarenavirus,
Lumpy skin disease virus,Lumpy skin disease virus,
Luna mammarenavirus,Luna mammarenavirus,
Lunk mammarenavirus,Lunk mammarenavirus,
Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis mammarenavirus,
Macaca mulatta polyomavirus 1,Macaca mulatta polyomavirus 1,
Macacine alphaherpesvirus 1,Macacine alphaherpesvirus 1,
Macacine betaherpesvirus 3,Macacine betaherpesvirus 3,
Macacine gammaherpesvirus 4,Macacine gammaherpesvirus 4,
Macacine gammaherpesvirus 5,Macacine gammaherpesvirus 5,
Rhesus macaque simian foamy virus,Rhesus macaque simian foamy virus,
Machupo mammarenavirus,Machupo mammarenavirus,
Macropodid alphaherpesvirus 1,Macropodid alphaherpesvirus 1,
Madariaga virus,Madariaga virus,
Madrid orthobunyavirus,Madrid orthobunyavirus,
Main Drain orthobunyavirus,Main Drain orthobunyavirus,
Maize fine streak nucleorhabdovirus,Maize fine streak gammanucleorhabdovirus,
Maize Iranian mosaic nucleorhabdovirus,Maize Iranian mosaic alphanucleorhabdovirus,
Maize mosaic nucleorhabdovirus,Maize mosaic alphanucleorhabdovirus,
Malpais Spring vesiculovirus,Malpais Spring vesiculovirus,
Mamastrovirus 1,Mamastrovirus 1,
Mamastrovirus 10,Mamastrovirus 10,
Mamastrovirus 13,Mamastrovirus 13,
Mamastrovirus 2,Mamastrovirus 2,
Mamastrovirus 3,Mamastrovirus 3,
Mamastrovirus 6,Mamastrovirus 6,
Mamastrovirus 9,Mamastrovirus 9,
Mammalian 1 orthobornavirus,Mammalian 1 orthobornavirus,
Mammalian orthorubulavirus 5,Mammalian orthorubulavirus 5,
Manzanilla orthobunyavirus,Manzanilla orthobunyavirus,
Mapuera orthorubulavirus,Mapuera orthorubulavirus,
Maraba vesiculovirus,Maraba vesiculovirus,
Marburg marburgvirus,Marburg marburgvirus,
Marituba orthobunyavirus,Marituba orthobunyavirus,
Mason-Pfizer monkey virus,Mason-Pfizer monkey virus,
Mayaro virus,Mayaro virus,
Measles morbillivirus,Measles morbillivirus,
Menangle pararubulavirus,Menangle pararubulavirus,
Merino Walk mammarenavirus,Merino Walk mammarenavirus,
Mesocricetus auratus polyomavirus 1,Mesocricetus auratus polyomavirus 1,
Middelburg virus,Middelburg virus,
Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,
Miniopterus bat coronavirus HKU8,Miniopterus bat coronavirus HKU8,
Mischivirus A,Mischivirus A,
Mischivirus C,Mischivirus C,
Mobala mammarenavirus,Mobala mammarenavirus,
Modoc virus,Modoc virus,
Mojiang henipavirus,Mojiang henipavirus,
Mokola lyssavirus,Mokola lyssavirus,
Molluscum contagiosum virus,Molluscum contagiosum virus,
Moloney murine sarcoma virus,Moloney murine sarcoma virus,
Monkeypox virus,Monkeypox virus,
Montana myotis leukoencephalitis virus,Montana myotis leukoencephalitis virus,
Mopeia mammarenavirus,Mopeia mammarenavirus,
Mosso das Pedras virus,Mosso das Pedras virus,
Mount Elgon bat ledantevirus,Mount Elgon bat ledantevirus,
Mouse mammary tumor virus,Mouse mammary tumor virus,
Moussa virus,Moussa mousrhavirus,
Mucambo virus,Mucambo virus,
Mumps orthorubulavirus,Mumps orthorubulavirus,
Munia coronavirus HKU13,Munia coronavirus HKU13,
Mupapillomavirus 1,Mupapillomavirus 1,
Mupapillomavirus 2,Mupapillomavirus 2,
Murid betaherpesvirus 1,Murid betaherpesvirus 1,
Murid betaherpesvirus 2,Murid betaherpesvirus 2,
Murid gammaherpesvirus 4,Murid gammaherpesvirus 4,
Murine coronavirus,Murine coronavirus,
Murine leukemia virus,Murine leukemia virus,
Murine mastadenovirus A,Murine mastadenovirus A,
Murine mastadenovirus B,Murine mastadenovirus B,
Murine orthopneumovirus,Murine orthopneumovirus,
Murine respirovirus,Murine respirovirus,
Murray Valley encephalitis virus,Murray Valley encephalitis virus,
Mus musculus polyomavirus 1,Mus musculus polyomavirus 1,
Mus musculus polyomavirus 2,Mus musculus polyomavirus 2,
Myxoma virus,Myxoma virus,
Ndumu virus,Ndumu virus,
Nelson Bay orthoreovirus,Nelson Bay orthoreovirus,
New Jersey vesiculovirus,New Jersey vesiculovirus,
Newbury 1 virus,Newbury 1 virus,
Ngaingan hapavirus,Ngaingan hapavirus,
Niakha sripuvirus,Niakha sripuvirus,
Night heron coronavirus HKU19,Night heron coronavirus HKU19,
Nipah henipavirus,Nipah henipavirus,
Northern cereal mosaic cytorhabdovirus,Northern cereal mosaic cytorhabdovirus,
Norwalk virus,Norwalk virus,
Ntaya virus,Ntaya virus,
Nupapillomavirus 1,Nupapillomavirus 1,
Nyando orthobunyavirus,Nyando orthobunyavirus,
Onyong-nyong virus,Onyong-nyong virus,
Obodhiang ephemerovirus,Obodhiang ephemerovirus,
Oita ledantevirus,Oita ledantevirus,
Oliveros mammarenavirus,Oliveros mammarenavirus,
Omikronpapillomavirus 1,Omikronpapillomavirus 1,
Omsk hemorrhagic fever virus,Omsk hemorrhagic fever virus,
Orf virus,Orf virus,
Oriboca orthobunyavirus,Oriboca orthobunyavirus,
Oropouche orthobunyavirus,Oropouche orthobunyavirus,
Orthohepevirus A,Orthohepevirus A,
Orthohepevirus B,Orthohepevirus B,
Orthohepevirus C,Orthohepevirus C,
Orthohepevirus D,Orthohepevirus D,
Orungo virus,Orungo virus,
Oscivirus A,Oscivirus A,
Ovine atadenovirus D,Ovine atadenovirus D,
Ovine gammaherpesvirus 2,Ovine gammaherpesvirus 2,
Ovine mastadenovirus A,Ovine mastadenovirus A,
Palyam virus,Palyam virus,
Panine betaherpesvirus 2,Panine betaherpesvirus 2,
Papiine alphaherpesvirus 2,Papiine alphaherpesvirus 2,
Paraguayan mammarenavirus,Paraguayan mammarenavirus,
Parapoxvirus of red deer in New Zealand,Red deerpox virus,
Parechovirus A,Parechovirus A,
Parechovirus B,Parechovirus B,
Patois orthobunyavirus,Patois orthobunyavirus,
Pegivirus A,Pegivirus A,
Pegivirus C,Pegivirus C,
Pegivirus E,Pegivirus E,
Pegivirus H,Pegivirus H,
Perch perhabdovirus,Perch perhabdovirus,
Perinet vesiculovirus,Perinet vesiculovirus,
Peruvian horse sickness virus,Peruvian horse sickness virus,
Phnom Penh bat virus,Phnom Penh bat virus,
Phocid alphaherpesvirus 1,Phocid alphaherpesvirus 1,
Phocine morbillivirus,Phocine morbillivirus,
Cali mammarenavirus,Cali mammarenavirus,
Pipapillomavirus 1,Pipapillomavirus 1,
Pipistrellus bat coronavirus HKU5,Pipistrellus bat coronavirus HKU5,
Pirital mammarenavirus,Pirital mammarenavirus,
Piry vesiculovirus,Piry vesiculovirus,
Piscihepevirus A,Piscihepevirus A,
Piscine novirhabdovirus,Piscine novirhabdovirus,
Pixuna virus,Pixuna virus,
Porcine circovirus 1,Porcine circovirus 1,
Porcine circovirus 2,Porcine circovirus 2,
Porcine epidemic diarrhea virus,Porcine epidemic diarrhea virus,
Porcine mastadenovirus A,Porcine mastadenovirus A,
Porcine mastadenovirus C,Porcine mastadenovirus C,
Betaarterivirus suid 1,Betaarterivirus suid 1,
Porcine respirovirus 1,Porcine respirovirus 1,
Porcine orthorubulavirus,Porcine orthorubulavirus,
Porcine torovirus,Porcine torovirus,
Porcine type-C oncovirus,Porcine type-C oncovirus,
Potato yellow dwarf nucleorhabdovirus,Potato yellow dwarf alphanucleorhabdovirus,
Powassan virus,Powassan virus,
Primate erythroparvovirus 1,Primate erythroparvovirus 1,
Primate T-lymphotropic virus 1,Primate T-lymphotropic virus 1,
Primate T-lymphotropic virus 2,Primate T-lymphotropic virus 2,
Primate T-lymphotropic virus 3,Primate T-lymphotropic virus 3,
Pestivirus E,Pestivirus E,
Pseudocowpox virus,Pseudocowpox virus,
Puerto Almendras almendravirus,Puerto Almendras almendravirus,
Puma lentivirus,Puma lentivirus,
Punta Toro phlebovirus,Punta Toro phlebovirus,
Puumala orthohantavirus,Puumala orthohantavirus,
Quaranfil quaranjavirus,Quaranfil quaranjavirus,
Rabbit fibroma virus,Rabbit fibroma virus,
Rabbit hemorrhagic disease virus,Rabbit hemorrhagic disease virus,
Rabies lyssavirus,Rabies lyssavirus,
Raccoonpox virus,Raccoonpox virus,
Reptile sunshinevirus 1,Reptile sunshinevirus 1,
Reptilian ferlavirus,Reptilian ferlavirus,
Reston ebolavirus,Reston ebolavirus,
Rhinolophus bat coronavirus HKU2,Rhinolophus bat coronavirus HKU2,
Rhinovirus A,Rhinovirus A,
Rhinovirus B,Rhinovirus B,
Rhinovirus C,Rhinovirus C,
Rice yellow stunt nucleorhabdovirus,Rice yellow stunt alphanucleorhabdovirus,
Rift Valley fever phlebovirus,Rift Valley fever phlebovirus,
Rinderpest morbillivirus,Rinderpest morbillivirus,
Rio Bravo virus,Rio Bravo virus,
Rio Negro virus,Rio Negro virus,
Rodent erythroparvovirus 1,Rodent erythroparvovirus 1,
Rodent protoparvovirus 1,Rodent protoparvovirus 1,
Rodent protoparvovirus 2,Rodent protoparvovirus 2,
Ross River virus,Ross River virus,
Rotavirus A,Rotavirus A,
Rotavirus B,Rotavirus B,
Rotavirus C,Rotavirus C,
Rotterdam reptarenavirus,Rotterdam reptarenavirus,
Rousettus bat coronavirus HKU9,Rousettus bat coronavirus HKU9,
Royal Farm virus,Royal Farm virus,
Rubella virus,Rubella virus,
Brazilian mammarenavirus,Brazilian mammarenavirus,
Saboya virus,Saboya virus,
Saimiriine alphaherpesvirus 1,Saimiriine alphaherpesvirus 1,
Saimiriine gammaherpesvirus 2,Saimiriine gammaherpesvirus 2,
Sakobuvirus A,Sakobuvirus A,
Salehabad phlebovirus,Salehabad phlebovirus,
Salivirus A,Salivirus A,
Salmon aquaparamyxovirus,Salmo aquaparamyxovirus,
Salmon pancreas disease virus,Salmon pancreas disease virus,
Salmonid novirhabdovirus,Salmonid novirhabdovirus,
Sandfly fever Naples phlebovirus,Naples phlebovirus,
Sapelovirus A,Sapelovirus A,
Sapporo virus,Sapporo virus,
Scotophilus bat coronavirus 512,Scotophilus bat coronavirus 512,
Semliki Forest virus,Semliki Forest virus,
Seoul orthohantavirus,Seoul orthohantavirus,
Sepik virus,Sepik virus,
Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus,
Huaiyangshan banyangvirus,Dabie bandavirus,
Schmallenberg orthobunyavirus,Schmallenberg orthobunyavirus,
Sheeppox virus,Sheeppox virus,
Shimoni bat lyssavirus,Shimoni bat lyssavirus,
Shuni orthobunyavirus,Shuni orthobunyavirus,
Sicinivirus A,Sicinivirus A,
Simbu orthobunyavirus,Simbu orthobunyavirus,
Western chimpanzee simian foamy virus,Western chimpanzee simian foamy virus,
Deltaarterivirus hemfev,Deltaarterivirus hemfev,
Simian immunodeficiency virus,Simian immunodeficiency virus,
Simian orthorubulavirus,Simian orthorubulavirus,
Sin Nombre orthohantavirus,Sin Nombre orthohantavirus,
Sindbis virus,Sindbis virus,
Small ruminant morbillivirus,Small ruminant morbillivirus,
Snakehead novirhabdovirus,Snakehead novirhabdovirus,
Sonchus yellow net nucleorhabdovirus,Sonchus yellow net betanucleorhabdovirus,
Sosuga pararubulavirus,Sosuga pararubulavirus,
Southern elephant seal virus,Southern elephant seal virus,
Squirrel monkey retrovirus,Squirrel monkey retrovirus,
Squirrelpox virus,Squirrelpox virus,
Saint Louis encephalitis virus,Saint Louis encephalitis virus,
Sudan ebolavirus,Sudan ebolavirus,
Suid alphaherpesvirus 1,Suid alphaherpesvirus 1,
Swinepox virus,Swinepox virus,
Tacaiuma orthobunyavirus,Tacaiuma orthobunyavirus,
Tacaribe mammarenavirus,Tacaribe mammarenavirus,
